person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24.0,0,0,38519.0,2,3,1358.0,1,15.7,0.04,3.0,677,0,1
48.0,1,0,97058.0,25,3,18000.0,2,17.76,0.19,18.0,649,0,0
27.0,1,0,69894.0,4,2,15000.0,3,11.99,0.21,10.0,642,0,0
24.0,1,1,47692.0,2,3,16000.0,2,19.91,0.34,3.0,675,0,1
26.0,1,1,49159.0,5,3,1800.0,5,13.23,0.04,3.0,678,0,0
23.0,1,1,60618.0,0,0,2000.0,0,6.62,0.03,4.0,679,0,0
22.0,1,0,35051.0,3,0,10750.0,0,11.14,0.31,2.0,584,1,0
22.0,1,1,60763.0,0,3,7500.0,3,8.94,0.12,3.0,573,1,0
22.0,0,0,72005.0,3,0,4900.0,4,15.62,0.07,3.0,557,0,1
25.0,1,4,59689.0,4,3,10000.0,0,6.62,0.17,2.0,682,0,1
24.0,0,3,65750.0,3,0,5000.0,4,8.16,0.08,3.0,658,0,0
25.0,0,0,124446.0,0,0,35000.0,5,9.29,0.28,7.0,625,1,0
27.0,1,1,68104.0,8,0,3100.0,4,9.32,0.05,7.0,660,1,0
26.0,1,1,132918.0,2,0,4000.0,0,6.92,0.03,2.0,632,1,0
31.0,0,1,114699.0,10,0,24000.0,1,13.35,0.21,10.0,700,1,0
23.0,0,1,65739.0,0,0,3000.0,0,10.6,0.05,4.0,569,1,0
26.0,1,4,39524.0,2,3,1600.0,5,14.46,0.04,3.0,688,0,1
24.0,1,0,35640.0,0,0,6075.0,0,8.49,0.17,2.0,573,1,0
40.0,1,1,49109.0,16,2,10000.0,1,11.01,0.2,16.0,698,0,0
47.0,0,4,63234.0,24,0,12000.0,0,7.29,0.19,13.0,513,1,0
28.0,1,0,73170.0,3,3,3000.0,0,11.27,0.04,5.0,710,1,0
39.0,1,0,53896.0,17,3,1800.0,3,14.91,0.03,17.0,629,0,1
23.0,0,4,16451.0,2,3,2800.0,4,15.21,0.17,2.0,682,0,1
25.0,0,3,33654.0,5,3,2500.0,1,16.69,0.07,2.0,575,1,0
25.0,0,0,105557.0,3,0,7500.0,5,11.79,0.07,6.0,667,0,0
28.0,0,0,243620.0,2,0,12000.0,4,14.46,0.05,8.0,580,0,0
25.0,0,0,81406.0,0,3,5000.0,4,13.92,0.06,4.0,662,0,1
26.0,0,3,66249.0,1,2,24250.0,2,12.18,0.37,4.0,475,1,0
29.0,1,1,102938.0,7,3,35000.0,4,11.99,0.34,8.0,671,0,1
23.0,1,1,66110.0,0,3,15550.0,0,11.71,0.24,4.0,691,1,0
27.0,1,1,58398.0,5,2,6500.0,4,7.75,0.11,8.0,635,0,0
24.0,1,3,30863.0,0,3,5000.0,5,7.14,0.16,2.0,582,1,0
27.0,1,4,126745.0,3,3,20000.0,5,10.62,0.16,9.0,661,0,0
25.0,0,4,44403.0,2,3,2500.0,3,7.66,0.06,2.0,589,0,1
24.0,0,0,43170.0,2,3,10000.0,0,11.01,0.23,4.0,695,1,0
27.0,0,0,28676.0,6,3,8550.0,2,10.73,0.3,7.0,664,0,1
36.0,0,1,69873.0,14,3,2400.0,1,10.0,0.03,15.0,697,1,0
27.0,0,1,21838.0,5,2,2500.0,1,13.03,0.11,5.0,616,1,0
22.0,0,1,79032.0,0,0,6500.0,1,11.01,0.08,2.0,520,1,0
41.0,1,3,45779.0,22,3,19844.0,0,13.1,0.43,16.0,584,0,1
38.0,1,0,61057.0,19,3,10000.0,4,11.01,0.16,13.0,584,0,0
26.0,1,3,87511.0,6,3,3000.0,2,7.29,0.03,2.0,617,1,0
21.0,0,1,51140.0,2,3,5000.0,1,9.32,0.1,4.0,652,0,0
64.0,1,1,68127.0,44,3,10000.0,0,16.82,0.15,18.0,690,0,1
26.0,0,1,35810.0,2,3,1000.0,1,6.17,0.03,4.0,636,0,0
31.0,0,1,28553.0,10,3,2400.0,2,8.49,0.08,8.0,632,0,1
25.0,1,3,75581.0,3,0,5400.0,3,15.21,0.07,3.0,653,0,1
34.0,1,0,43207.0,11,0,5000.0,4,10.74,0.12,7.0,698,0,0
26.0,1,1,37198.0,6,3,3000.0,0,13.49,0.08,4.0,652,0,0
30.0,1,4,77763.0,11,0,10000.0,0,10.25,0.13,8.0,720,0,1
22.0,1,0,24576.0,0,3,4800.0,0,10.99,0.2,2.0,681,0,1
30.0,0,4,46419.0,9,3,15000.0,1,13.06,0.32,10.0,618,0,1
54.0,1,3,78879.0,29,0,9600.0,4,15.99,0.12,20.0,650,1,0
26.0,1,0,132827.0,5,0,25000.0,4,11.82,0.19,5.0,612,1,0
30.0,1,1,42933.0,9,3,6000.0,3,7.72,0.14,10.0,669,1,0
24.0,1,1,69286.0,1,0,2400.0,0,12.69,0.03,4.0,568,0,0
25.0,1,4,39408.0,3,0,2500.0,2,7.68,0.06,3.0,596,0,1
22.0,1,3,83971.0,0,0,10000.0,0,15.62,0.12,2.0,575,0,1
33.0,1,3,70699.0,11,3,15000.0,3,13.88,0.21,8.0,649,0,1
37.0,1,0,63378.0,17,0,6470.0,4,10.05,0.1,12.0,712,0,0
23.0,1,4,81864.0,1,3,20000.0,3,16.94,0.24,3.0,686,0,1
35.0,0,3,72032.0,12,0,5000.0,1,8.0,0.07,5.0,612,1,0
26.0,0,0,84926.0,7,0,5000.0,4,11.01,0.06,4.0,680,1,0
24.0,0,3,70014.0,1,0,3300.0,2,5.42,0.05,4.0,662,0,0
66.0,1,1,51470.0,44,3,6475.0,3,9.99,0.13,30.0,600,1,0
44.0,1,3,703125.0,24,0,20000.0,3,11.01,0.03,16.0,563,0,1
28.0,0,4,66011.0,7,3,4500.0,1,11.01,0.07,8.0,734,0,1
27.0,1,1,19892.0,3,3,2800.0,3,10.65,0.14,7.0,655,0,1
22.0,0,4,29906.0,0,2,6000.0,3,12.68,0.2,4.0,638,0,0
30.0,1,3,78978.0,8,3,20000.0,5,10.98,0.25,9.0,569,0,1
22.0,1,0,51314.0,2,2,4800.0,5,11.01,0.09,3.0,629,0,0
27.0,1,0,38301.0,4,3,5000.0,5,13.97,0.13,5.0,643,1,0
22.0,1,0,76575.0,0,3,4000.0,2,11.12,0.05,2.0,622,0,1
29.0,0,1,93269.0,9,3,8225.0,1,11.01,0.09,10.0,613,1,0
24.0,1,4,111803.0,0,3,12000.0,0,7.51,0.11,4.0,620,1,0
23.0,0,3,84811.0,0,0,10000.0,3,14.79,0.12,2.0,617,0,0
29.0,0,1,224393.0,7,0,25000.0,1,10.46,0.11,6.0,694,0,0
23.0,0,3,111352.0,0,3,6500.0,4,8.0,0.06,2.0,633,0,0
26.0,0,0,62230.0,5,0,13000.0,3,15.33,0.21,3.0,597,0,1
37.0,0,3,73053.0,16,0,12000.0,0,12.83,0.16,14.0,667,0,0
30.0,1,1,78995.0,10,3,20000.0,2,11.99,0.25,8.0,675,0,1
30.0,0,3,51792.0,9,3,14750.0,0,11.01,0.28,7.0,672,0,1
25.0,0,3,60881.0,3,3,4000.0,0,10.37,0.07,2.0,670,1,0
28.0,1,1,50519.0,6,3,4000.0,4,18.64,0.08,8.0,678,0,1
24.0,1,3,15405.0,4,3,4000.0,4,13.8,0.26,3.0,691,0,1
34.0,0,4,128284.0,12,0,7200.0,2,7.29,0.06,8.0,626,1,0
34.0,0,2,70209.0,9,3,6000.0,2,10.14,0.09,7.0,667,1,0
26.0,0,1,183214.0,6,0,5800.0,1,7.88,0.03,3.0,604,1,0
21.0,0,1,29556.0,0,3,10000.0,1,11.01,0.34,2.0,646,0,1
28.0,0,4,88612.0,7,3,1000.0,0,11.01,0.01,7.0,728,0,0
35.0,0,0,66139.0,10,3,5363.0,5,13.99,0.08,15.0,571,0,1
32.0,0,0,30728.0,10,1,11200.0,0,7.88,0.36,5.0,646,0,1
25.0,1,1,43629.0,0,0,10000.0,3,8.94,0.23,2.0,523,1,0
28.0,1,3,78802.0,7,3,6000.0,3,11.19,0.08,9.0,646,0,0
22.0,1,0,95385.0,1,3,14000.0,1,13.48,0.15,4.0,637,0,0
28.0,1,0,32281.0,6,3,4051.0,0,11.52,0.13,6.0,664,0,1
30.0,0,1,108750.0,6,0,5000.0,2,12.87,0.05,10.0,645,1,0
35.0,0,3,69434.0,12,3,6173.0,3,11.05,0.09,10.0,476,0,1
24.0,0,1,42579.0,1,3,19000.0,0,11.36,0.45,2.0,677,0,1
28.0,0,1,20167.0,5,3,3089.0,1,8.53,0.15,7.0,631,0,1
26.0,1,3,86409.0,4,3,16000.0,3,11.01,0.19,4.0,520,0,1
29.0,0,1,37031.0,8,3,6000.0,2,17.99,0.16,7.0,618,0,1
23.0,0,1,26869.0,0,3,5264.0,4,12.14,0.2,3.0,676,0,1
25.0,1,0,29863.0,4,3,10000.0,0,9.27,0.33,3.0,692,0,1
22.0,1,1,66050.0,0,0,4000.0,1,11.14,0.06,3.0,588,0,1
27.0,1,4,115194.0,4,3,31431.0,5,13.82,0.27,4.0,728,0,1
28.0,1,1,65790.0,6,3,13000.0,1,15.23,0.2,9.0,637,0,1
27.0,0,0,48084.0,4,0,6400.0,0,10.99,0.13,10.0,575,1,0
21.0,1,0,57619.0,0,3,5300.0,3,7.66,0.09,2.0,541,1,0
29.0,0,4,31498.0,8,3,11489.0,4,14.21,0.36,10.0,682,0,1
24.0,0,0,281775.0,0,2,20000.0,2,8.88,0.07,4.0,595,1,0
35.0,1,4,26350.0,13,3,8000.0,3,11.14,0.3,6.0,704,0,1
25.0,0,3,95461.0,5,0,7132.0,5,8.22,0.07,5.0,567,1,0
34.0,1,1,91007.0,12,0,8000.0,5,5.42,0.09,10.0,674,1,0
24.0,1,1,49585.0,0,3,17620.0,3,10.29,0.36,4.0,605,0,1
24.0,0,3,26590.0,2,3,10000.0,1,9.91,0.38,3.0,576,0,1
31.0,0,4,65743.0,7,0,13000.0,5,11.61,0.2,9.0,665,1,0
36.0,1,1,41582.0,11,3,10000.0,3,6.47,0.24,8.0,683,0,0
24.0,0,4,120940.0,6,0,3600.0,0,13.23,0.03,2.0,675,1,0
23.0,0,4,42789.0,3,3,10000.0,0,13.22,0.23,2.0,672,1,0
23.0,0,0,61215.0,3,0,9000.0,4,11.01,0.15,2.0,527,1,0
22.0,0,1,54301.0,0,3,10000.0,2,11.36,0.18,2.0,507,0,1
22.0,1,3,39626.0,1,3,15000.0,4,13.22,0.38,3.0,682,0,1
40.0,1,0,213440.0,14,0,24784.0,0,11.01,0.12,17.0,635,0,1
28.0,1,2,37116.0,8,3,8400.0,1,12.06,0.23,10.0,654,0,0
23.0,0,4,36851.0,0,3,1500.0,0,7.51,0.04,3.0,640,1,0
23.0,1,4,39132.0,0,3,6474.0,5,8.67,0.17,3.0,639,0,0
47.0,1,4,53855.0,24,3,8000.0,3,11.01,0.15,11.0,689,0,1
21.0,1,3,34659.0,0,3,6625.0,0,13.06,0.19,2.0,675,0,1
29.0,1,1,73054.0,11,3,5000.0,3,14.22,0.07,9.0,692,0,1
21.0,0,4,53857.0,0,3,7500.0,3,7.9,0.14,3.0,600,0,1
23.0,0,4,36765.0,0,0,8000.0,3,11.01,0.22,3.0,720,0,1
28.0,1,3,90965.0,9,3,10000.0,5,7.9,0.11,5.0,666,0,0
23.0,1,3,95147.0,1,0,15000.0,4,16.82,0.16,3.0,636,1,0
29.0,0,1,16687.0,2,3,7109.0,5,8.78,0.43,7.0,587,0,1
33.0,1,0,75440.0,8,0,20000.0,3,11.01,0.27,8.0,699,0,1
23.0,1,0,70365.0,1,3,8000.0,1,7.49,0.11,3.0,636,1,0
37.0,0,3,63393.0,14,0,16000.0,0,15.25,0.25,11.0,598,0,1
40.0,1,3,118587.0,16,3,25000.0,0,19.04,0.21,16.0,584,0,1
33.0,1,0,181332.0,8,0,12000.0,2,10.54,0.07,12.0,564,1,0
26.0,1,1,130495.0,0,3,7622.0,4,15.58,0.06,5.0,609,0,1
31.0,1,3,137025.0,11,0,25000.0,4,10.77,0.18,7.0,639,0,0
32.0,1,3,60203.0,8,3,12000.0,2,11.11,0.2,9.0,527,0,1
25.0,0,1,43104.0,4,3,5000.0,3,13.95,0.12,3.0,634,0,1
32.0,0,4,36929.0,6,3,3500.0,4,11.71,0.09,10.0,659,0,1
33.0,0,1,67843.0,12,0,22000.0,1,7.88,0.32,6.0,624,1,0
25.0,0,0,67482.0,6,3,20000.0,5,11.01,0.3,4.0,682,0,1
35.0,1,0,148392.0,11,3,25000.0,4,17.19,0.17,8.0,646,0,1
31.0,1,0,35719.0,9,3,9000.0,3,15.37,0.25,9.0,602,0,1
23.0,0,1,34577.0,1,3,8000.0,2,17.58,0.23,4.0,647,0,1
42.0,0,0,58876.0,19,2,3500.0,1,14.35,0.06,17.0,564,1,0
44.0,1,3,61037.0,23,3,13000.0,5,13.16,0.21,13.0,719,1,0
25.0,0,3,73304.0,2,3,3000.0,3,13.47,0.04,3.0,566,0,1
27.0,1,0,31196.0,6,3,8000.0,0,14.84,0.26,5.0,669,0,1
27.0,0,0,46635.0,4,3,15000.0,1,12.73,0.32,10.0,669,0,1
25.0,1,1,30362.0,2,2,11743.0,5,9.4,0.39,4.0,608,1,0
24.0,0,3,54853.0,2,3,6000.0,1,11.01,0.11,3.0,624,1,0
22.0,1,4,51122.0,2,2,12000.0,1,12.42,0.23,2.0,728,1,0
30.0,1,1,58844.0,3,3,14356.0,4,12.49,0.24,7.0,680,0,1
33.0,1,0,102828.0,10,0,3817.0,3,5.64,0.04,12.0,626,0,0
30.0,1,3,24052.0,8,2,7000.0,2,15.78,0.29,5.0,590,0,1
37.0,1,0,106689.0,13,0,14250.0,1,11.89,0.13,14.0,635,0,0
32.0,1,0,43028.0,9,3,5500.0,4,11.49,0.13,7.0,667,0,0
30.0,1,1,116255.0,10,0,7000.0,1,6.03,0.06,10.0,674,1,0
23.0,1,1,69334.0,0,3,11050.0,1,14.74,0.16,4.0,686,0,1
43.0,0,0,166589.0,20,0,9900.0,1,6.99,0.06,14.0,624,1,0
24.0,1,3,50080.0,5,3,15337.0,0,12.81,0.31,3.0,545,0,1
23.0,0,1,36959.0,5,0,1000.0,0,6.62,0.03,3.0,702,0,1
25.0,0,0,67244.0,1,0,5000.0,1,15.99,0.07,4.0,553,1,0
32.0,1,3,59964.0,10,0,11500.0,3,10.99,0.19,9.0,636,0,1
37.0,0,1,59794.0,15,3,15367.0,0,17.82,0.26,11.0,648,0,1
25.0,0,0,71874.0,2,3,3468.0,1,14.12,0.05,2.0,595,0,1
24.0,1,4,132735.0,2,0,18000.0,3,12.09,0.14,4.0,650,1,0
21.0,1,4,50020.0,2,3,13000.0,3,13.57,0.26,2.0,600,0,1
28.0,0,0,271029.0,7,0,16800.0,4,13.92,0.06,5.0,612,1,0
22.0,0,1,50601.0,0,0,10000.0,1,13.57,0.2,4.0,698,0,1
27.0,1,4,32516.0,5,3,12000.0,3,13.22,0.37,7.0,696,0,1
24.0,0,3,66064.0,1,3,4000.0,3,14.95,0.06,3.0,671,0,1
23.0,1,3,76727.0,0,3,5600.0,0,8.49,0.07,4.0,619,0,0
25.0,0,1,87645.0,0,3,7407.0,1,15.02,0.08,4.0,676,0,0
27.0,1,1,82834.0,6,0,17500.0,3,17.93,0.21,10.0,656,0,1
37.0,1,0,86284.0,17,0,11200.0,0,12.42,0.13,11.0,656,0,0
26.0,1,0,65489.0,1,0,4800.0,0,11.49,0.07,2.0,602,0,1
30.0,0,3,41145.0,6,3,4000.0,3,13.79,0.1,9.0,638,0,0
34.0,0,0,35874.0,13,3,10800.0,2,9.63,0.3,10.0,723,0,1
24.0,1,4,58605.0,5,0,5000.0,5,5.99,0.09,4.0,649,1,0
29.0,1,1,22367.0,10,3,6400.0,5,10.37,0.29,5.0,685,0,1
36.0,0,3,64706.0,13,0,2200.0,0,14.35,0.03,17.0,650,1,0
28.0,1,4,24002.0,4,3,4000.0,0,12.69,0.17,8.0,628,0,1
24.0,1,4,47915.0,0,0,5000.0,2,11.01,0.1,3.0,635,0,1
26.0,0,4,84937.0,2,3,12000.0,2,6.99,0.14,3.0,653,1,0
28.0,1,1,130401.0,6,0,5600.0,1,13.98,0.04,7.0,692,0,0
29.0,1,1,53844.0,9,3,5421.0,4,15.74,0.1,9.0,588,0,1
26.0,0,3,18488.0,3,3,3200.0,3,12.21,0.17,2.0,634,0,1
22.0,1,0,73167.0,0,3,6500.0,4,9.25,0.09,2.0,677,0,0
27.0,0,1,35706.0,3,3,3000.0,1,7.88,0.08,7.0,665,0,1
25.0,0,4,43478.0,3,3,16000.0,1,9.22,0.37,4.0,698,0,1
24.0,1,0,47903.0,0,3,20000.0,3,14.74,0.42,2.0,665,0,1
23.0,1,3,51155.0,0,0,6000.0,4,16.77,0.12,3.0,609,1,0
24.0,1,0,44646.0,3,3,5000.0,0,12.92,0.11,3.0,617,0,1
27.0,1,1,49055.0,1,0,14675.0,2,12.69,0.3,10.0,647,1,0
24.0,1,3,91135.0,0,2,9600.0,3,8.94,0.11,3.0,578,1,0
25.0,1,1,37197.0,4,0,10625.0,1,16.49,0.29,4.0,655,1,0
22.0,1,1,73110.0,0,3,24000.0,4,7.29,0.33,3.0,674,0,1
40.0,1,0,76231.0,18,0,7500.0,3,19.04,0.1,12.0,588,0,1
28.0,0,0,56167.0,7,3,9000.0,0,17.56,0.16,7.0,692,0,1
33.0,1,0,66877.0,13,3,8500.0,2,9.25,0.13,7.0,734,0,0
25.0,1,1,90972.0,2,0,5800.0,1,11.01,0.06,2.0,679,0,0
24.0,1,1,286608.0,2,3,10000.0,5,13.67,0.03,2.0,664,0,1
23.0,0,4,45457.0,0,3,10000.0,0,11.01,0.22,3.0,708,1,0
27.0,1,0,21369.0,3,3,4000.0,5,14.42,0.19,8.0,566,0,1
23.0,1,3,88834.0,2,3,10000.0,1,14.11,0.11,3.0,642,0,1
24.0,1,1,36893.0,2,0,1000.0,0,9.35,0.03,5.0,687,0,1
34.0,0,0,83653.0,9,3,5800.0,5,14.59,0.07,5.0,532,0,1
22.0,0,0,42132.0,0,3,11000.0,2,15.99,0.26,3.0,528,0,1
30.0,0,0,61287.0,6,3,7000.0,0,14.65,0.11,9.0,653,0,0
21.0,1,1,22700.0,0,3,1500.0,3,12.18,0.07,3.0,597,0,1
25.0,1,3,43218.0,5,3,13750.0,0,7.51,0.32,4.0,554,0,1
25.0,1,0,90920.0,2,0,12000.0,0,11.49,0.13,3.0,637,0,0
36.0,0,0,55183.0,15,3,6000.0,0,9.99,0.11,12.0,683,0,0
27.0,0,3,36979.0,1,3,13000.0,0,7.88,0.35,9.0,573,0,1
22.0,0,4,22615.0,0,3,3000.0,3,13.99,0.13,4.0,687,0,1
23.0,1,3,65892.0,0,0,7500.0,3,11.03,0.11,3.0,658,0,1
28.0,0,1,68440.0,5,0,13000.0,5,9.98,0.19,5.0,628,1,0
57.0,1,0,69090.0,31,3,5000.0,4,15.96,0.07,24.0,727,0,0
29.0,0,1,48934.0,2,3,3600.0,1,8.59,0.07,8.0,653,1,0
27.0,1,4,94334.0,4,0,35000.0,2,17.27,0.37,5.0,615,0,1
38.0,0,4,205089.0,15,3,5500.0,5,11.01,0.03,13.0,722,1,0
30.0,1,1,58695.0,6,0,3000.0,1,7.4,0.05,7.0,637,1,0
24.0,0,3,44528.0,3,3,5000.0,0,6.03,0.11,3.0,647,1,0
26.0,0,0,121110.0,1,0,10000.0,1,14.26,0.08,2.0,510,0,0
25.0,0,1,38131.0,3,3,3000.0,2,11.01,0.08,4.0,667,0,1
30.0,1,0,98180.0,10,3,34000.0,0,10.59,0.35,8.0,649,0,1
40.0,0,0,35041.0,18,2,12000.0,4,16.0,0.34,14.0,654,0,0
33.0,0,1,139205.0,11,0,10500.0,3,13.49,0.08,9.0,572,1,0
36.0,1,4,53700.0,14,0,1800.0,3,10.0,0.03,13.0,515,0,1
23.0,1,3,55641.0,0,3,5000.0,4,14.22,0.09,4.0,622,0,0
22.0,1,1,51678.0,1,3,10000.0,1,12.42,0.19,4.0,617,0,0
32.0,0,4,56501.0,8,3,3000.0,2,16.29,0.05,9.0,701,0,1
22.0,1,3,64093.0,0,3,15000.0,1,10.37,0.23,3.0,670,0,0
24.0,0,0,64121.0,1,3,5000.0,4,7.74,0.08,4.0,639,0,0
30.0,1,1,51374.0,6,3,5000.0,3,14.96,0.1,7.0,659,1,0
26.0,0,4,57291.0,0,0,5000.0,3,12.87,0.09,4.0,671,0,1
26.0,0,0,55138.0,4,0,5000.0,5,6.99,0.09,2.0,625,1,0
26.0,1,4,35723.0,3,3,8500.0,3,13.55,0.24,3.0,593,0,1
24.0,1,0,110000.0,0,0,15000.0,3,12.27,0.14,3.0,637,0,1
25.0,1,3,132324.0,2,0,14000.0,1,9.63,0.11,3.0,678,1,0
28.0,1,0,130170.0,9,3,20000.0,4,15.31,0.15,7.0,664,0,1
30.0,1,4,144998.0,6,3,10000.0,2,17.04,0.07,5.0,713,1,0
41.0,0,4,8000.0,15,3,2000.0,3,13.22,0.25,15.0,737,0,1
25.0,1,1,51276.0,4,0,7000.0,0,8.59,0.14,3.0,670,1,0
25.0,1,3,106619.0,1,0,8487.0,0,14.65,0.08,5.0,482,0,1
32.0,0,0,19271.0,8,3,1793.0,3,16.85,0.09,9.0,606,1,0
22.0,1,1,51512.0,0,0,3000.0,4,6.03,0.06,3.0,632,1,0
21.0,1,3,32379.0,1,0,14500.0,3,14.61,0.45,2.0,499,0,1
23.0,1,1,76824.0,0,3,5429.0,5,13.68,0.07,3.0,705,1,0
22.0,0,0,46709.0,0,3,5000.0,1,7.29,0.11,3.0,604,1,0
22.0,1,3,91021.0,0,3,4800.0,0,12.21,0.05,2.0,596,1,0
27.0,1,3,135763.0,6,0,8000.0,4,6.17,0.06,8.0,659,1,0
25.0,1,3,61090.0,5,3,25000.0,5,12.57,0.41,5.0,551,0,1
28.0,0,3,53729.0,10,2,7500.0,4,14.84,0.14,8.0,669,0,0
26.0,1,3,47976.0,4,3,3000.0,1,11.01,0.06,2.0,589,0,1
22.0,0,1,36519.0,0,3,5000.0,1,13.26,0.14,4.0,476,1,0
32.0,0,1,81278.0,8,0,10000.0,2,9.45,0.12,9.0,670,0,0
25.0,0,0,59049.0,3,3,7000.0,3,7.9,0.12,3.0,640,1,0
22.0,0,1,67025.0,0,3,3000.0,4,12.68,0.04,4.0,627,0,0
25.0,0,1,71389.0,4,3,7500.0,3,15.37,0.11,4.0,672,0,1
27.0,1,0,120964.0,3,3,5000.0,5,12.42,0.04,8.0,641,1,0
28.0,0,4,59091.0,7,3,15000.0,3,12.99,0.25,7.0,593,0,1
27.0,1,4,146222.0,4,0,16800.0,2,6.91,0.11,8.0,731,0,0
22.0,1,3,18729.0,0,3,3000.0,1,9.91,0.16,3.0,561,0,1
31.0,0,1,104257.0,9,3,5000.0,0,11.01,0.05,8.0,660,1,0
22.0,0,3,35904.0,0,3,6000.0,5,11.46,0.17,3.0,611,1,0
24.0,1,3,157549.0,1,0,30000.0,5,10.79,0.19,6.0,684,0,0
24.0,1,4,26747.0,1,0,2000.0,0,14.84,0.07,2.0,704,0,1
30.0,1,0,76310.0,6,0,13684.0,1,10.9,0.18,5.0,535,1,0
28.0,1,1,76077.0,4,0,9000.0,0,13.72,0.12,9.0,633,0,1
25.0,0,1,104173.0,4,0,15000.0,4,6.91,0.14,4.0,659,0,1
27.0,1,0,85957.0,5,0,20000.0,1,20.0,0.23,8.0,676,0,1
28.0,0,3,421133.0,8,3,20000.0,0,11.01,0.05,9.0,575,1,0
23.0,1,0,104217.0,0,0,4800.0,0,16.0,0.05,3.0,646,0,1
27.0,0,3,55821.0,4,0,1000.0,5,16.29,0.02,5.0,668,1,0
33.0,1,1,19442.0,10,2,3774.0,5,8.25,0.19,9.0,683,0,1
33.0,1,1,210661.0,12,0,25000.0,0,10.75,0.12,9.0,708,0,0
29.0,1,0,319204.0,3,0,25000.0,4,11.26,0.08,10.0,597,1,0
29.0,0,1,60525.0,8,3,6500.0,3,8.5,0.11,6.0,668,0,0
26.0,1,0,62332.0,4,0,13000.0,0,15.33,0.21,2.0,622,0,1
26.0,1,0,96804.0,3,0,3000.0,5,8.0,0.03,4.0,597,0,0
22.0,1,1,61090.0,0,3,7200.0,0,11.01,0.12,4.0,600,1,0
23.0,1,1,48769.0,4,3,4800.0,0,6.25,0.1,3.0,678,1,0
24.0,0,1,80544.0,0,3,30000.0,3,11.01,0.37,3.0,668,0,1
29.0,1,4,50376.0,5,3,9776.0,1,9.95,0.19,9.0,675,1,0
27.0,1,4,136429.0,2,0,20000.0,0,11.01,0.15,8.0,609,0,1
24.0,1,1,56216.0,2,3,5975.0,4,14.46,0.11,4.0,657,0,1
22.0,1,0,43924.0,0,3,5000.0,1,12.68,0.11,4.0,592,0,1
38.0,0,3,107706.0,14,0,6000.0,4,5.42,0.06,13.0,625,0,0
31.0,1,0,55365.0,8,0,6000.0,5,10.99,0.11,10.0,711,1,0
21.0,1,4,47407.0,0,3,10000.0,1,7.66,0.21,4.0,702,1,0
22.0,0,1,79953.0,0,0,16800.0,4,13.89,0.21,3.0,463,1,0
37.0,1,0,56088.0,11,3,20000.0,0,14.91,0.36,10.0,671,0,1
28.0,1,4,136409.0,3,3,19975.0,0,13.92,0.15,9.0,567,0,1
27.0,0,3,57608.0,0,3,15000.0,5,8.72,0.26,10.0,609,0,1
30.0,1,1,41993.0,5,3,7500.0,2,9.05,0.18,5.0,571,0,1
31.0,0,3,122820.0,10,3,7500.0,5,13.22,0.06,9.0,619,1,0
36.0,1,0,96826.0,13,3,1928.0,5,10.91,0.02,10.0,664,0,0
23.0,0,0,72279.0,2,3,20000.0,3,16.0,0.28,3.0,688,0,1
39.0,0,0,67281.0,14,0,9600.0,1,10.7,0.14,14.0,706,0,0
